LABFR     	LABPOURSE
LNGFR     	LANGEAIS
LANFR     	LANGRES
FRLAI     	LANNION
LNNFR     	LANNION
LRCFR     	LARCAY
FRLVA     	LAVAL
LAVFR     	LAVAL
LVAFR     	LAVANCIA
LBBFR     	LE BENY-BOCAGE
LEBFR     	LE BOIS ROBERT
LBGFR     	LE BOURGET 
FRCTT     	LE CASTELLET
LCHFR     	LE CHAMBON-FEUGEROLLES
LECFR     	LE CORBIER
LGQFR     	LE GRAND QUEVILLY
FRLE      	LE HAVRE
FRLEH     	LE HAVRE
LEHFR     	LE HAVRE
FRLME     	LE MANS
FRLPY     	LE PUY
FRLTQ     	LE TOUQUET
LCSFR     	LECOUSSE
LEOFR     	LEON
LEAFR     	LES ALLUETS-LE-ROI
LENFR     	LES ANDELYS
LEEFR     	LES HERBIERS
LESFR     	LES MUREAUX
FRLSO     	LES SABLES
LEVFR     	LEVALLOIS - PERRET
LIBFR     	LIBERCOURT
FRLIL     	LILLE
FRXDB     	LILLE
FRXFA     	LILLE
FRLIG     	LIMOGES
LIMFR     	LIMOGES
LIVFR     	LIVRY-GARGAN 
LOGFR     	LOGNES
LSAFR     	LONGEVILLE -LES-SAINT-AVOLD
LONFR     	LONGVIC
FRLRT     	LORIENT
LRDFR     	LOURDES
FRLDE     	LOURDES/TARBES
LOUFR     	LOUVERNE
LDBFR     	LOUVIGNE-DE-BAIS
LUCFR     	LUCE
LURFR     	LURE
FRLYN     	LYON
FRLYS     	LYON
FRXYD     	LYON
FRXYL     	LYON
FRXYV     	LYON
LYOFR     	LYON
MACFR     	MACON
MAGFR     	MAGNY VERNOIS
MAIFR     	MAILLAT
MRCFR     	MARCKOLSHEIM
MLCFR     	MARGNY-LES-COMPIEGNE
MALFR     	MARLES-LES-MINES
MRZFR     	MARNAZ
FRMRS     	MARSEILLE
FRXRF     	MARSEILLE
MARFR     	MARSEILLE
MRTFR     	MARTIGNAT
MASFR     	MASSY
MLIFR     	MAUREILLAS-LAS-ILLAS
MAZFR     	MAZAMET
MEAFR     	MEAUX
FRMVV     	MEGEVE
MELFR     	MELISEY
FRMEN     	MENDE
MENFR     	MENTHON SAINT BERNARD
MERFR     	MERU
MEYFR     	MERY
FRMZM     	METZ
METFR     	METZ
FRETZ     	METZ/NANCY
MEUFR     	MEUDON LA FORET
MYLFR     	MEYLAN
MEZFR     	MEYZIEU
MIRFR     	MIRIBEL
MSMFR     	MOELAN-SUR-MER
MOIFR     	MOIRANS EN MONTAGNE
MOSFR     	MOISSY CRAMAYEL
MONFR     	MONACO
MNVFR     	MONDEVILLE
FRMCU     	MONTLUCON
MOTFR     	MONTMIRAIL
FRMPL     	MONTPELLIER
FRXPJ     	MONTPELLIER
MLAFR     	MONTREUIL-L ARGILLE
FRMXN     	MORLAIX
MORFR     	MORLAIX
MLTFR     	MOULT
MOUFR     	MOUZON
MULFR     	MULHOUSE
MUZFR     	MUZILLAC
FRENC     	NANCY
NATFR     	NANTERRE
FRNTE     	NANTES
NANFR     	NANTES
NTTFR     	NANTIAT
NNTFR     	NANTUA
FRNVS     	NEVERS
NEYFR     	NEYRON
NIBFR     	NIBAS
FRNCE     	NICE
NICFR     	NICE
FRFNI     	NIMES
FRNIT     	NIORT
NLRFR     	NOGENT-LE-ROTROU
NOGFR     	NOGENT-SUR-VERNISSON
NOIFR     	NOISY-LE-GRAND
NOMFR     	NOMPATELIZE
OLTFR     	OLTINGUE
ORBFR     	ORBEY 
ORGFR     	ORGELET
FRORE     	ORLEANS
OREFR     	ORLEANS
ORLFR     	ORLY
ORNFR     	ORNANS
OYOFR     	OYONNAX
PALFR     	PALAISEAU
FRBVA     	PARIS
FRCDG     	PARIS
FRJDP     	PARIS
FRJPU     	PARIS
FRLBG     	PARIS
FRORY     	PARIS
FRPOX     	PARIS
PARFR     	PARIS
PRMFR     	PARMAIN
FRPUF     	PAU
PAUFR     	PAU
FRPGX     	PERIGUEUX
FRPGF     	PERPIGNAN
PIEFR     	PIERRE DE BREESE
